ciudad,pais,latitud,longitud,temperatura,sensacion_termica,humedad,velocidad_viento,descripcion,fecha_extraccion,codigo_tiempo
Bogota,Colombia,4.600,-74.083,11,10,90,6,Patchy rain nearby,2026-02-20T20:17:35.020046,176
Medellin,Colombia,6.291,-75.536,14,15,97,4,Mist,2026-02-20T20:17:41.498359,143
Cali,Colombia,3.437,-76.523,17,17,91,7,Patchy rain nearby,2026-02-20T20:17:44.666278,176
Barranquilla,Colombia,10.964,-74.796,27,30,82,28,Clear ,2026-02-20T20:17:46.089229,113
Cartagena,Colombia,10.400,-75.514,27,31,80,21,Clear ,2026-02-20T20:17:47.249976,113
